country,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
Ghana,,,,,,,,,,,,81k,98k,120k,130k,150k,170k,190k,200k,220k,230k,240k,250k,250k,260k,260k,250k,250k,250k,240k,240k,230k,230k
Guinea,352,,,,,,,,,,,23k,27k,32k,38k,43k,48k,53k,58k,62k,66k,69k,72k,75k,77k,78k,80k,81k,82k,83k,83k,84k,85k
Gambia,,,,,,,,,,,,600,600,1000,1200,1500,1900,2300,2800,3300,4000,4800,5700,6700,7700,8800,9800,11k,11k,12k,13k,13k,14k
Guinea-Bissau,,,29,,,,,,,,,1500,1800,2200,2700,3300,3900,4700,5500,6500,7500,8600,9800,11k,12k,14k,15k,16k,17k,19k,20k,22k,24k
Equatorial Guinea,113,,,,,,,,,,,2000,2300,2700,3000,3400,3900,4400,4900,5500,6200,7000,7900,8800,9800,11k,12k,13k,14k,16k,17k,18k,20k
Greece,473,,,,,,,,,,,5500,5700,6000,6100,6300,6400,6600,6900,7300,7700,8100,8500,8800,9100,9300,9500,9700,9900,10k,10k,11k,11k
Guatemala,,,,,,,,,,,,5400,6800,8500,10k,13k,15k,17k,20k,22k,24k,26k,28k,29k,31k,34k,36k,39k,43k,47k,52k,58k,65k
Guyana,117,,,,,,,,,,,2700,3300,4000,4700,5500,6300,7100,7800,8400,8700,8900,8900,8700,8500,8100,7800,7400,7200,6900,6600,6400,6200
Honduras,140,,,,,,,,,,,35k,49k,61k,71k,77k,81k,81k,80k,77k,73k,69k,64k,59k,55k,50k,47k,44k,41k,38k,36k,34k,33k
Croatia,,,,,,,,,,,,160,160,160,350,350,350,350,350,600,600,600,600,600,600,600,600,600,600,1000,1100,1100,1200
Haiti,3410,,,,,,,,,,,100k,110k,120k,130k,130k,130k,130k,130k,130k,130k,130k,130k,130k,130k,120k,120k,120k,120k,120k,120k,120k,120k
Hungary,,,,,,,,,,,,5500,5300,5000,4700,4400,4100,3900,3700,3600,3500,3400,3400,3400,3400,3400,3500,3500,3600,3700,3800,4000,4100
Indonesia,,,,,,,,,,,,60,60,60,60,160,350,600,1000,1900,3500,6100,12k,26k,57k,100k,140k,180k,220k,260k,300k,340k,380k
India,,,,,,,,,,,,250k,380k,550k,770k,1M,1.3M,1.6M,1.8M,2M,2.3M,2.4M,2.5M,2.6M,2.6M,2.6M,2.58M,2.54M,2.49M,2.44M,2.4M,,
Ireland,,,,257,,,,,,,,600,600,1100,1400,1800,2200,2700,3100,3600,4000,4400,4800,5100,5500,5800,6100,6400,6700,7000,7300,7600,7800
Iran,,,,,,,,,,,,2800,3600,4800,6900,10k,15k,22k,29k,37k,44k,51k,56k,61k,66k,71k,75k,78k,82k,85k,89k,93k,96k
Iceland,14,,,,,,,,,,,60,60,60,160,160,160,160,350,350,350,350,350,350,350,350,350,350,350,350,350,600,600
Israel,192,,,,,,,,,,,1200,1500,2000,2400,2900,3300,3700,4100,4500,4900,5200,5500,5800,6100,6400,6700,7000,7400,7700,8000,8200,8500
Italy,,,2880,,,,,,,,,110k,110k,110k,110k,110k,120k,120k,120k,120k,130k,130k,130k,130k,130k,130k,140k,140k,140k,140k,150k,150k,150k
Jamaica,150,,,,,,,,,,,12k,16k,20k,24k,28k,32k,34k,36k,37k,37k,37k,36k,35k,35k,34k,33k,32k,31k,31k,30k,30k,30k
Japan,,,,,,,,,,,,5300,5400,5500,5600,5600,5700,5800,5900,5900,6000,6100,6200,6300,6400,6600,6800,7000,7100,7400,7500,7700,7900
Kazakhstan,,,,,,,,,,,,160,160,350,350,600,1600,3300,4800,6000,7100,8200,9200,9900,11k,11k,12k,13k,14k,15k,16k,18k,19k
Kenya,4710,,,,,,,,,,,280k,450k,660k,910k,1.1M,1.3M,1.5M,1.6M,1.6M,1.6M,1.6M,1.6M,1.6M,1.6M,1.5M,1.5M,1.5M,1.5M,1.5M,1.6M,1.6M,1.6M
Kyrgyz Republic,,,,,,,,,,,,60,60,60,60,60,160,160,160,350,350,350,600,600,1200,1700,2400,3200,4300,5700,7500,9600,12k
Cambodia,,,,,,,310,,,,,23k,34k,45k,56k,66k,74k,80k,83k,86k,87k,87k,85k,82k,79k,75k,71k,69k,67k,66k,65k,65k,64k
South Korea,,,,,,,,,,,,2600,2700,2900,3000,3100,3200,3300,3400,3600,3900,5600,7200,8600,9900,11k,12k,13k,13k,14k,15k,15k,15k
Lao,,,,,,,,,,,,60,160,160,350,600,600,600,1300,1700,2200,2700,3200,3800,4300,5000,5700,6400,7200,8000,8800,9600,10k
Lebanon,129,,,,,,,,,,,350,350,350,600,600,600,600,600,1000,1200,1300,1500,1600,1800,2000,2100,2300,2400,2500,2600,2800,2900
Liberia,117,,,,,,,,,,,6900,8800,11k,13k,16k,19k,23k,27k,31k,35k,37k,39k,39k,39k,38k,37k,35k,33k,31k,29k,27k,25k
Sri Lanka,,,,,,,,,,,,350,600,600,600,600,600,1100,1200,1400,1500,1700,1900,2100,2400,2600,2800,3000,3300,3500,3700,3900,4200
Lesotho,,,,,,75,,,,,,6000,12k,23k,42k,72k,110k,150k,190k,210k,230k,250k,250k,260k,270k,270k,270k,280k,290k,290k,300k,310k,320k
Lithuania,,,,,,,,,,,,160,160,160,350,350,350,350,350,600,600,600,600,600,1000,1100,1200,1300,1300,1400,1400,1500,1500
Luxembourg,29,,,,,,,,,,,160,160,160,350,350,350,350,350,350,600,600,600,600,600,600,600,600,600,600,600,600,600
Latvia,,,,,,,,,,,,350,600,600,600,1100,1300,1700,2200,2700,3300,4100,4900,5700,6500,7200,7800,8300,8600,8900,9000,9100,9100
Morocco,,,,,,,,,,,,1400,1800,2200,2800,3400,4100,5000,6100,7300,8600,10k,12k,13k,15k,17k,19k,21k,23k,25k,27k,29k,32k
Moldova,,,,,,,,,,,,600,600,600,1100,1400,1900,3400,6900,9500,11k,11k,11k,11k,11k,12k,12k,12k,12k,13k,13k,14k,15k
Madagascar,,,,,,,,,,,,7100,8200,9500,11k,12k,14k,15k,17k,18k,20k,21k,22k,23k,25k,26k,27k,28k,29k,30k,31k,32k,34k
