country,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
Iran,,,,,,,,,,,,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
Iceland,0.0124,,,,,,,,,,,0.06,0.06,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.3,0.3,0.3,0.3
Israel,0.0122,,,,,,,,,,,0.06,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
Italy,0.01,,,,,,,,,,,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.4,0.4,0.4
Jamaica,0.0145,,,,,,,,,,,2.1,2.2,2.2,2.2,2.2,2.2,2.1,2.1,2,2,1.9,1.9,1.9,1.8,1.8,1.8,1.7,1.7,1.7,1.8,1.8,1.8
Japan,,,,,,,,,,,,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06
Kazakhstan,,,,,,,,,,,,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2
Kenya,0.07,,,,,,,,,,,3.9,5.4,7,8.4,9.6,10.3,10.5,10.5,10.1,9.6,9,8.4,7.9,7.5,7.1,6.8,6.6,6.4,6.3,6.2,6.2,6.2
Kyrgyz Republic,,,,,,,,,,,,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.1,0.1,0.1,0.2,0.2,0.2,0.3,0.4
Cambodia,,,,,,,0.01,,,,,0.5,0.8,1,1.2,1.3,1.4,1.4,1.4,1.4,1.4,1.3,1.2,1.1,0.9,0.8,0.8,0.7,0.6,0.6,0.6,0.6,0.6
South Korea,,,,,,,,,,,,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06
Lao,,,,,,,,,,,,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.3,0.3
Lebanon,0.0122,,,,,,,,,,,0.06,0.06,0.06,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Liberia,0.0118,,,,,,,,,,,0.3,0.5,1,1.7,2.5,3.1,3.4,3.6,3.5,3.4,3.3,3.1,2.8,2.6,2.4,2.2,2,1.8,1.6,1.3,1.1,1
Sri Lanka,,,,,,,,,,,,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06
Lesotho,,,,,,0.0111,,,,,,0.8,1.7,3.3,5.9,9.8,14.3,18.5,21.6,23.4,24.2,24.5,24.5,24.3,24.1,23.8,23.6,23.5,23.5,23.6,23,23.2,23.3
Lithuania,,,,,,,,,,,,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.1,0.1,0.1,0.1,0.1
Luxembourg,0.0137,,,,,,,,,,,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3
Latvia,,,,,,,,,,,,0.06,0.06,0.06,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.3,0.4,0.4,0.5,0.5,0.6,0.6,0.6,0.6,0.7,0.7,0.7
Morocco,,,,,,,,,,,,0.06,0.06,0.06,0.06,0.06,0.06,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2
Moldova,,,,,,,,,,,,0.06,0.1,0.1,0.1,0.1,0.1,0.2,0.3,0.3,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.5,0.5,0.5
Madagascar,,,,,,,,,,,,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.3
Maldives,,,,,,,,,,,,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06
Mexico,0.0312,,,,,,,,,,,0.4,0.4,0.4,0.4,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.2,0.2,0.2
Mali,,,,0.0126,,,,,,,,0.4,0.6,1,1.4,1.7,1.8,1.9,1.9,1.8,1.8,1.7,1.6,1.5,1.4,1.3,1.2,1.1,1.1,1,1.2,1.1,1.1
Malta,,,,,,,,,,,,0.06,0.06,0.06,0.06,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Myanmar,,,,,,,0.01,,,,,0.2,0.3,0.4,0.4,0.5,0.6,0.6,0.7,0.7,0.7,0.8,0.8,0.7,0.7,0.7,0.7,0.7,0.6,0.6,0.7,0.7,0.6
Mongolia,,,,,,,,,,,,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06
Mozambique,0.0757,,,,,,,,,,,1.2,1.6,2.1,2.7,3.4,4.1,4.9,5.8,6.7,7.7,8.6,9.4,10.1,10.6,11,11.2,11.3,11.4,11.4,11.3,11.3,11.3
Mauritania,,,,,,,,,,,,0.2,0.2,0.2,0.3,0.3,0.4,0.4,0.5,0.5,0.5,0.6,0.6,0.6,0.7,0.7,0.7,0.7,0.7,0.7,1,1.1,1.1
Mauritius,,,,,,,,,,,,0.06,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.3,0.3,0.4,0.4,0.5,0.6,0.7,0.7,0.8,0.9,1,1,1
Malawi,,0.0153,,,,,,,,,,7.2,8.8,10.5,11.9,13.1,13.9,14.5,14.7,14.7,14.5,14.2,13.8,13.4,13,12.5,12.1,11.8,11.4,11.2,10.9,10.4,10
Malaysia,,,,,,,,,0.0102,,,0.1,0.1,0.1,0.2,0.3,0.3,0.3,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.5,0.5,0.5,0.5,0.4,0.4,0.4
Namibia,0.0168,,,,,,,,,,,1.6,2.2,3,4.1,5.5,7.1,8.9,10.7,12.5,14.1,15.3,16.1,16.5,16.5,16.2,15.7,15,14.3,13.7,13.7,13.6,13.4
Niger,,,,,0.0114,,,,,,,0.1,0.1,0.2,0.3,0.4,0.6,0.7,0.9,0.9,1,1,1,1,1,0.9,0.9,0.9,0.8,0.8,0.8,0.8,0.8
Nigeria,0.038,,,,,,,,,,,1.3,2.2,3.1,3.6,3.8,4,4,4,4,4,3.9,3.8,3.8,3.7,3.7,3.7,3.6,3.6,3.6,3.6,3.7,3.7
Nicaragua,,,,,,,,0.00951,,,,0.06,0.06,0.06,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
Netherlands,,,,0.0108,,,,,,,,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
Norway,,,,,0.0144,,,,,,,0.06,0.06,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Nepal,,,,,,,0.01,,,,,0.2,0.3,0.3,0.3,0.4,0.4,0.4,0.4,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.4,0.4,0.4,0.4,0.4,0.3,0.3
New Zealand,,,,,,,,0.0114,,,,0.1,0.1,0.1,0.06,0.06,0.06,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Oman,,,,,,,,,,,,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.1,0.1,,,
