country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
Togo,300,300,600,600,1300,1800,2400,3200,4000,4800,5600,6400,7100,7600,8000,7900,8000,8400,8300,7700,,
Thailand,1100,3600,8600,16k,25k,34k,42k,49k,48k,55k,56k,52k,47k,39k,27k,21k,21k,25k,28k,28k,,
Tajikistan,60,60,60,60,60,60,60,120,120,120,120,120,300,300,300,300,300,300,300,300,,
Trinidad and Tobago,60,60,60,150,150,350,350,350,350,600,600,600,600,600,600,600,600,600,600,600,600,600
Tunisia,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60
Turkey,60,60,60,60,60,60,60,60,60,60,60,60,60,120,120,120,60,60,60,120,,
Tanzania,22k,30k,40k,51k,63k,76k,89k,100k,110k,120k,120k,130k,130k,130k,130k,130k,130k,120k,100k,96k,91k,84k
Uganda,85k,95k,100k,110k,110k,110k,110k,110k,110k,110k,100k,100k,97k,93k,89k,82k,74k,74k,74k,69k,66k,62k
Ukraine,60,60,60,60,150,350,600,1400,2600,4300,6400,9000,12k,15k,18k,20k,21k,23k,23k,23k,23k,22k
Uruguay,60,60,60,60,60,60,150,150,350,350,350,350,350,600,600,600,600,600,600,600,600,600
United States,32k,39k,45k,51k,56k,59k,59k,38k,33k,25k,20k,20k,20k,20k,20k,20k,20k,20k,19k,19k,20k,20k
Uzbekistan,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,120,120,300,300,300,,
Venezuela,1100,1300,1500,1700,2000,2200,2500,2800,3100,3400,3700,3800,3400,3000,2800,2700,2700,2800,3000,3200,3100,2900
Vietnam,300,300,600,600,1000,1300,1700,2200,2800,3600,4500,5500,6800,8200,9800,11k,13k,13k,14k,14k,,
Yemen,60,60,60,60,60,60,60,150,150,350,350,350,600,600,600,600,1100,1200,1300,1400,1500,1600
South Africa,2200,3600,5900,9800,16k,26k,41k,61k,89k,120k,160k,210k,260k,300k,340k,370k,390k,390k,380k,340k,300k,270k
Zambia,23k,29k,34k,39k,44k,49k,53k,57k,60k,63k,66k,68k,69k,71k,70k,65k,60k,49k,42k,45k,,
Zimbabwe,23k,32k,43k,55k,68k,82k,96k,110k,120k,140k,150k,150k,160k,160k,150k,150k,140k,130k,110k,98k,78k,58k
