"","menage_id","enerc_kcal_s_1","enerc_kcal_s_2","sec_s_1","sec_s_2","eau_s_1","eau_s_2","graisse_s_1","graisse_s_2"
"47",321,1918.91194237858,1355.95756051585,446.223113389581,300.497546409404,2637.15478120568,1952.58002639081,41.8473847178817,36.6785286962122
"48",185,198.86315612793,1827.437708143,45.5678942871094,399.607856703877,766.573157958984,2712.38479797733,3.53,78.5267786339521
"49",332,974.299858579934,1068.62533203125,232.52198447029,252.423273864746,1565.94057376941,1727.97502630615,19.3535570313931,17.7876070861816
"50",345,1806.28548163652,1513.2748157649,438.787512326479,337.843116814137,2830.75559875941,1270.9361651597,21.8914785757065,66.2858797593117
"51",80,1465.32301907279,1404.26468939483,322.597320661204,300.008504585564,2961.54241796557,2062.49566315001,56.719094336994,42.9504078115821
"52",355,1546.0224848671,2431.14063948515,389.181544683456,478.947910052404,1871.13607654762,2937.88985982849,30.6442119998932,160.870146327987
"53",133,2141.60099468342,1443.83520913243,511.345835811045,342.022459714293,2293.9996332407,1545.08376637232,40.1207649926767,39.4906739795208
"54",24,2359.36199109018,2025.56402993679,485.755631661713,415.811874310398,2343.86792465419,2519.25729950247,99.9815916745067,76.1812977766991
"55",63,1186.28336720335,1657.27723500013,273.388590053439,347.445033026218,1384.38965822685,1907.41045753908,29.6355341857076,65.3594723137617
"56",350,1191.2834659586,1372.47878268003,261.707495224476,323.611180296183,1420.50830243826,1334.88538766837,34.3988610610962,23.627257232666
"57",347,1245.82461341441,1207.89702017009,299.29013166368,284.678952004021,1971.62732421815,1849.0175696656,23.9381725009084,40.2107796247005
"58",362,1999.906742616,682.112261928171,440.73101112327,151.410629057378,1950.51569008747,1530.80230124196,62.8664954512715,19.8435559854954
"59",62,1129.0056642244,1208.17456647813,275.591612824433,272.180937010467,2632.26227480061,1776.99788741428,22.7215816465691,28.5399496592879
"60",162,1620.55292536139,1277.23614052442,363.790550134301,304.745729114583,2299.46806488264,1807.20025992794,53.2549867061377,33.4827970824391
"61",360,2314.15983222723,1445.23849191174,493.496127891779,338.13679750903,2851.87640501237,1736.73707767682,93.0394297839999,62.6092684091777
