year,week,region,cases
1995,46,Niamey,0
1995,46,Tahoua,54
1995,46,Tillaberi,17
1995,46,Zinder,4
1995,47,Agadez,85
1995,47,Diffa,27
1995,47,Dosso,80
1995,47,Maradi,5
1995,47,Niamey,0
1995,47,Tahoua,59
1995,47,Tillaberi,32
1995,47,Zinder,7
1995,48,Agadez,145
1995,48,Diffa,16
1995,48,Dosso,22
1995,48,Maradi,73
1995,48,Niamey,0
1995,48,Tahoua,41
1995,48,Tillaberi,52
1995,48,Zinder,6
1995,49,Agadez,126
1995,49,Diffa,8
1995,49,Dosso,139
1995,49,Maradi,97
1995,49,Niamey,0
1995,49,Tahoua,77
1995,49,Tillaberi,43
1995,49,Zinder,19
1995,50,Agadez,157
1995,50,Diffa,14
1995,50,Dosso,150
1995,50,Maradi,66
1995,50,Niamey,2
1995,50,Tahoua,116
1995,50,Tillaberi,77
1995,50,Zinder,39
1995,51,Agadez,141
1995,51,Diffa,18
1995,51,Dosso,125
1995,51,Maradi,88
1995,51,Niamey,0
1995,51,Tahoua,67
1995,51,Tillaberi,121
1995,51,Zinder,13
1995,52,Agadez,111
1995,52,Diffa,40
1995,52,Dosso,162
1995,52,Maradi,95
1995,52,Niamey,0
1995,52,Tahoua,99
1995,52,Tillaberi,75
1995,52,Zinder,19
1996,1,Agadez,120
1996,1,Diffa,75
1996,1,Dosso,98
1996,1,Maradi,123
1996,1,Niamey,0
1996,1,Tahoua,113
1996,1,Tillaberi,42
1996,1,Zinder,25
1996,2,Agadez,120
1996,2,Diffa,96
1996,2,Dosso,96
1996,2,Maradi,128
1996,2,Niamey,0
1996,2,Tahoua,102
1996,2,Tillaberi,115
1996,2,Zinder,66
1996,3,Agadez,114
1996,3,Diffa,46
1996,3,Dosso,76
1996,3,Maradi,139
1996,3,Niamey,0
1996,3,Tahoua,144
1996,3,Tillaberi,118
1996,3,Zinder,83
1996,4,Agadez,111
1996,4,Diffa,54
1996,4,Dosso,126
1996,4,Maradi,151
1996,4,Niamey,0
1996,4,Tahoua,108
1996,4,Tillaberi,74
1996,4,Zinder,115
1996,5,Agadez,110
1996,5,Diffa,70
1996,5,Dosso,133
1996,5,Maradi,256
1996,5,Niamey,10
1996,5,Tahoua,164
1996,5,Tillaberi,99
1996,5,Zinder,146
1996,6,Agadez,89
1996,6,Diffa,44
1996,6,Dosso,132
1996,6,Maradi,327
1996,6,Niamey,8
1996,6,Tahoua,282
1996,6,Tillaberi,5
1996,6,Zinder,294
1996,7,Agadez,72
1996,7,Diffa,175
1996,7,Dosso,159
1996,7,Maradi,349
1996,7,Niamey,5
1996,7,Tahoua,473
1996,7,Tillaberi,157
1996,7,Zinder,496
1996,8,Agadez,72
1996,8,Diffa,204
1996,8,Dosso,180
1996,8,Maradi,371
1996,8,Niamey,10
1996,8,Tahoua,436
1996,8,Tillaberi,172
1996,8,Zinder,446
1996,9,Agadez,54
1996,9,Diffa,225
1996,9,Dosso,106
1996,9,Maradi,402
1996,9,Niamey,9
1996,9,Tahoua,590
1996,9,Tillaberi,102
1996,9,Zinder,714
1996,10,Agadez,51
1996,10,Diffa,250
1996,10,Dosso,99
1996,10,Maradi,411
1996,10,Niamey,5
1996,10,Tahoua,629
1996,10,Tillaberi,339
1996,10,Zinder,632
1996,11,Agadez,68
1996,11,Diffa,277
1996,11,Dosso,115
1996,11,Maradi,726
1996,11,Niamey,26
1996,11,Tahoua,636
1996,11,Tillaberi,208
1996,11,Zinder,929
1996,12,Agadez,49
1996,12,Diffa,242
1996,12,Dosso,193
1996,12,Maradi,686
1996,12,Niamey,8
1996,12,Tahoua,716
1996,12,Tillaberi,135
1996,12,Zinder,1147
1996,13,Agadez,45
1996,13,Diffa,145
1996,13,Dosso,90
1996,13,Maradi,650
1996,13,Niamey,18
1996,13,Tahoua,587
1996,13,Tillaberi,209
1996,13,Zinder,1493
1996,14,Agadez,24
1996,14,Diffa,154
1996,14,Dosso,126
1996,14,Maradi,907
1996,14,Niamey,0
